Tracker;Status;Priority;Subject;Category;Estimated time;Description;Caratteristica di riferimento;id;assegnatario;tempo impiegato;hash commit;Commento
To-Do;New;Normal;"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjEeXwWVr5mP8FBY Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 285;startOffset: 25;endOffset: 61;endLine: 285";Maintenance (Code Smells);114;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f4"
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 72 to the 15 allowed.""";CRITICAL;1h2min;"Key: AYiMxjEeXwWVr5mP8FCE Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 382;startOffset: 16;endOffset: 21;endLine: 382";Maintenance (Code Smells);115;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f4"
To-Do;New;Normal;"java:S1066:  ""Merge this if statement with the enclosing one.""";MAJOR;5min;"Key: AYiMxjEeXwWVr5mP8FBV Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 387;startOffset: 12;endOffset: 14;endLine: 387";Maintenance (Code Smells);116;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f4"
To-Do;New;Normal;"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjEeXwWVr5mP8FBa Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 401;startOffset: 17;endOffset: 68;endLine: 401";Maintenance (Code Smells);117;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f4"
To-Do;New;Normal;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20min;"Key: AYiMxjEeXwWVr5mP8FBP Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 517;startOffset: 30;endOffset: 46;endLine: 517";Maintenance (Code Smells);118;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f4"
To-Do;New;Normal;"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjEeXwWVr5mP8FBb Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 535;startOffset: 86;endOffset: 96;endLine: 535";Maintenance (Code Smells);119;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f4"
To-Do;New;Normal;"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjEeXwWVr5mP8FBc Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 535;startOffset: 63;endOffset: 80;endLine: 535";Maintenance (Code Smells);120;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f5"
To-Do;New;Normal;"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjEeXwWVr5mP8FBd Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 540;startOffset: 31;endOffset: 40;endLine: 540";Maintenance (Code Smells);121;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f6"
To-Do;New;Normal;"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjEeXwWVr5mP8FBe Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 540;startOffset: 81;endOffset: 98;endLine: 540";Maintenance (Code Smells);122;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f7"
To-Do;New;Normal;"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjEeXwWVr5mP8FBf Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 540;startOffset: 104;endOffset: 114;endLine: 540";Maintenance (Code Smells);123;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f8"
To-Do;New;Normal;"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjEeXwWVr5mP8FBg Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterLAS.java - startLine: 540;startOffset: 120;endOffset: 134;endLine: 540";Maintenance (Code Smells);124;Claudia Stallone;;;"fixato implicitamente quando si è risolta la issue critical; hash: 2d7f5645b2b14d4b4946df789fefc5d7e003f0f9"
